"Alaró", 001
"Alcúdia", 003
"Algaida", 004
"Andratx", 005
"Ariany", 901
"Artà", 006
"Banyalbufar", 007
"Binissalem", 008
"Búger", 009
"Bunyola", 010
"Calvià", 011
"Campanet", 012
"Campos", 013
"Capdepera", 014
"Consell", 016
"Costitx", 017
"Deià", 018
"Escorca", 019
"Esporles", 020
"Estellencs", 021
"Felanitx", 022
"Fornalutx", 025
"Inca", 027
"Lloret de Vistalegre", 028
"Lloseta", 029
"Llubí", 030
"Llucmajor", 031
"Manacor", 033
"Mancor de la Vall", 034
"Maria de la Salut", 035
"Marratxí", 036
"Montuïri", 038
"Muro", 039
"Palma ", 040
"Petra", 041
"Pobla, Sa", 044
"Pollença", 042
"Porreres", 043
"Puigpunyent", 045
"Salines, Ses", 059
"Sant Joan", 049
"Sant Llorenç des Cardassar", 051
"Santa Eugènia", 053
"Santa Margalida", 055
"Santa María del Camí", 056
"Santanyí", 057
"Selva", 058
"Sencelles", 047
"Sineu", 060
"Sóller", 061
"Son Servera", 062
"Valldemossa", 063
"Vilafranca de Bonany", 065
