Alaior, 0027
Alaró, 0012
Alcúdia, 0033
Algaida, 0048
Andratx, 0051
Ariany, 9013
Artà, 0064
Banyalbufar, 0070
Binissalem, 0086
Búger, 0099
Bunyola, 0103
Calvià, 0110
Campanet, 0125
Campos, 0131
Capdepera, 0146
Castell (Es), 0645
Ciutadella de Menorca, 0159
Consell, 0162
Costitx, 0178
Deyá, 0184
Eivissa, 0260
Escorca, 0197
Esporles, 0201
Estellencs, 0218
Felanitx, 0223
Ferreries, 0239
Formentera, 0244
Fornalutx, 0257
Inca, 0276
Lloret de Vistalegre, 0282
Lloseta, 0295
Llubí, 0309
Llucmajor, 0316
Manacor, 0337
Mancor de la Vall, 0342
Maó, 0321
Maria de la Salut, 0355
Marratxí, 0368
Mercadal (Es), 0374
Migjorn Gran (Es), 9028
Montuïri, 0380
Muro, 0393
Palma, 0407
Petra, 0414
Pobla (Sa), 0440
Pollença, 0429
Porreres, 0435
Puigpunyent, 0453
Salines (Ses), 0598
Sant Antoni de Portmany, 0466
Sant Joan, 0491
Sant Joan de Labritja, 0504
Sant Josep de sa Talaia, 0488
Sant Llorenç des Cardassar, 0511
Sant Lluís, 0526
Santa Eugènia, 0532
Santa Eulalia del Río, 0547
Santa Margalida, 0550
Santa María del Camí, 0563
Santanyí, 0579
Selva, 0585
Sencelles, 0472
Sineu, 0602
Sóller, 0619
Son Servera, 0624
Valldemossa, 0630
Vilafranca de Bonany, 0658
